text,label
"Congratulations! You have won a $1000 Walmart gift card. Click here to claim now.",spam
"Hi John, can we reschedule our meeting to tomorrow?",ham
"Lowest prices on medicines, visit our online pharmacy now!",spam
"Dear customer, your account has been credited with $500.",spam
"Lunch at 1pm? Let me know if you can make it.",ham
"You have been selected for a free vacation. Call now!",spam
"Project deadline is next Monday. Please submit your work.",ham
"Earn money from home, no experience required!",spam
"Let's catch up over coffee this weekend.",ham
"Your invoice for last month is attached.",ham 
